b'767133268554706944',b'24 muertes en 30 dias !!! #RosarioSangra por la desidia de decadas del @GobSantaFe y @MiguelLifschitz  y complicespic.twitter.com/3f0hKXPXiv',b'58327643',b'58327643',b'#BastaDeMafia',b'1471733798000.0',b'2',b'2'
b'767133018058285056',b'#RosarioSangra !! https://twitter.com/FlaviusOk/status/767076242029940736\xc2\xa0\xe2\x80\xa6',b'3044741644',b'3044741644',b'Lito Rojas',b'1471733738000.0',b'2',b'1'
b'767132531934265346',b'#RosarioSangra por favor acompa\xc3\xb1anos con un RT !!! pic.twitter.com/G1hjOMPIHa',b'58327643',b'58327643',b'#BastaDeMafia',b'1471733622000.0',b'4',b'2'
b'767116430609412097',b'#RosarioSangra',b'1694859865',b'1694859865',b'Julita ',b'1471729784000.0',b'0',b'0'
b'767076242029940736',b'#RosarioSangra ! todos a tribunales el 25 a las 19.30 ! @LuchoBugallo @gastonmarraOK @CeSanz1 @atlanticsurffpic.twitter.com/tdsAT6PTE5',b'58327643',b'58327643',b'#BastaDeMafia',b'1471720202000.0',b'14',b'5'
b'767036303011635200',"b'S.O.S. #rosariosangra QUE ESPERAS ?QUE TE PASE A VOS!MARCHAMOS TODOS!SEGURIDAD Y JUSTICIA, EL JUEVES 25/8 19:30, EN TRIBUNALES DE ROSARIO.'",b'1918685366',b'1918685366',b'Tomas Amsler',b'1471710680000.0',b'0',b'0'
b'766812935259914240',"b'S.O.S. #rosariosangra QUE ESPERAS ?QUE TE PASE A VOS!MARCHAMOS TODOS!SEGURIDAD Y JUSTICIA, EL JUEVES 25/8 19:30, EN TRIBUNALES DE ROSARIO.'",b'2624499196',b'2624499196',b'Laura Rombo',b'1471657425000.0',b'0',b'1'
b'767480122299576320',b'#RosarioSangra  veamonos en el espejo de Tucuman!',b'1541969916',b'1541969916',b'Celia L.',b'1471816494000.0',b'0',b'0'
b'767479626021105664',b'Despierta Rosario de tu letargo! #RosarioSangra',b'1541969916',b'1541969916',b'Celia L.',b'1471816376000.0',b'0',b'0'
b'767477592308023296',b'#RosarioSangra https://twitter.com/leodelga2/status/767402620734607365\xc2\xa0\xe2\x80\xa6',b'1541969916',b'1541969916',b'Celia L.',b'1471815891000.0',b'0',b'0'
b'767423725239201792',"b'. #RosarioSangra MARCHAMOS TODOS !!!!SEGURIDAD Y JUSTICIA, EL JUEVES 25 DE AGOSTO A LAS 19:30,TRIBUNALES DE ROSARIO. pic.twitter.com/fROLlVhTgg'",b'33427093',b'33427093',b'Belu MB',b'1471803048000.0',b'13',b'12'
b'767423438751461377',b'#RosarioSangra',b'187646940',b'187646940',b'Rojinegro Querido',b'1471802980000.0',b'2',b'4'
b'767423168696975361',b'#RosarioSangra H\xc3\xa1ganse cargo https://twitter.com/marianobarria/status/767422544374853633\xc2\xa0\xe2\x80\xa6',b'33427093',b'33427093',b'Belu MB',b'1471802916000.0',b'0',b'2'
b'767420625824735233',b'Ayer le\xc3\xad algo y tiene mucha verdad #RosarioSangra Urgente una soluci\xc3\xb3n. Es muy triste todo.',b'144682368',b'144682368',b'Marcela A. Garcia',b'1471802309000.0',b'1',b'1'
b'767416651604168708',b'#NadieMenos #RosarioSangra #TodosATribunalespic.twitter.com/DU7tQiZzBP',b'58327643',b'58327643',b'#BastaDeMafia',b'1471801362000.0',b'1',b'2'
b'767416118659219461',"b'Ver que todos los d\xc3\xadas, TODOS LOS D\xc3\x8dAS matan a cualquiera para robar me sacaron casi todas las ganas de vivir por ac\xc3\xa1. #RosarioSangra'",b'1091387630',b'1091387630',b'AGU!',b'1471801235000.0',b'0',b'3'
b'767401253068496896',b'Todos diciendo Feliz d\xc3\xada  del ni\xc3\xb1o!y qu\xc3\xa9  les dicen a los ni\xc3\xb1os q perdieron a sus  padres a manos de chorros?#Rosariosangra',b'597911946',b'597911946',b'Susy',b'1471797691000.0',b'1',b'0'
b'767225177629425666',"b'@ddm_oficial Ayudanos a difundir #RosarioSangra marcha pidiendo seguridad 25/8 19,30 en Tribunales, 30 dias 24 muertos'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471755711000.0',b'4',b'0'
b'767224761768415232',"b'@PPT_oficial Ayudanos a difundir #RosarioSangra marcha pidiendo seguridad 25/8 19,30 en Tribunales, 30 dias 24 muertos'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471755612000.0',b'0',b'0'
b'767224663101542406',"b'@mirthalegrand Ayudennos a difundir #RosarioSangra marcha pidiendo seguridad 25/8 19,30 en Tribunales, 30 dias 24 muertos'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471755588000.0',b'0',b'0'
b'767224290471211008',"b'@majulluis Ayudanos a difundir #RosarioSangra marcha pidiendo seguridad 25/8 19,30 en Tribunales, 30 dias 24 muertos'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471755499000.0',b'0',b'0'
b'767201174269399040',b'S.o.S #RosarioSangra!!!',b'766796310179639296',b'766796310179639296',b'Vanesa ',b'1471749988000.0',b'0',b'0'
b'767176168772505600',"b'@mirthalegrand Jorge! #RosarioSangra Nadie nos escucha! 3 muertos en 72hs! Jueves 25,19hs en Tribunales.#Justicia #LanataConMirtha'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471744026000.0',b'1',b'3'
b'767175635152154626',"b'@mirthalegrand #RosarioSangra Nadie nos escucha. 3 muertos en 72hs. jueves 25,19hs en Tribunales.#Justicia!!!!'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743899000.0',b'1',b'0'
b'767174376596746241',"b'#RosarioSangra Nadie nos escucha!! 3 muertos en 72hs!!Jueves 25,19hs en Tribunales.#Justicia'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743599000.0',b'0',b'0'
b'767174129279651842',"b'@mirthalegrand #RosarioSangra Nadie nos escucha. 3 muertos en 72hs. jueves 25,19hs en Tribunales.#Justicia'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743540000.0',b'0',b'0'
b'767873956414095361',b'Nos unimos a la convocatoria #RosarioSangra el 25/ 08 19 : 30 hs en #Tribunales @emergenciasAR @RosSolidariapic.twitter.com/hCyJQAnvrb',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1471910392000.0',b'13',b'11'
b'767837232409575424',b'@@emergenciasAR #RosarioSangra https://youtu.be/4I6Zia5n2f4\xc2\xa0 v\xc3\xada @YouTube',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471901636000.0',b'0',b'0'
b'767832516065722368',b'Que nuestro grito de dolor se escuche en todo el Pa\xc3\xads #RosarioSangra https://www.youtube.com/watch?v=4I6Zia5n2f4&feature=youtu.be\xc2\xa0\xe2\x80\xa6',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471900512000.0',b'7',b'6'
b'767829616245501953',b'#RosarioSangra @mauriciomacri @CANOBoficial @GloriosoNewells @pablo_granados @BombitaDarin @gimassoud @lacapitalpic.twitter.com/Wy3dARRIrk',b'154169061',b'154169061',b'Belen R',b'1471899820000.0',b'5',b'4'
b'767827818931691521',b'#RosarioSangra',b'565404730',b'565404730',b'Julian Ponce',b'1471899392000.0',b'0',b'2'
b'767814735626637312',b'Necesitamos que todo el pa\xc3\xads nos apoye #RosarioSangra pic.twitter.com/0jiMDcJUxa',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471896272000.0',b'12',b'10'
b'767787558709395456',"b'@leodelga2 @emergenciasAR #RosarioSangra y los pol\xc3\xadticos de Santa Fe r\xc3\xaden, hasta cuando, caras de piedra'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471889793000.0',b'1',b'1'
b'767731809987723264',b'Es triste pero cuando despiertes agradecele a dios y la vida por vivir un dia mas en esta ciudad. Que nos paso? #RosarioSangra',b'319976202',b'319976202',b'Emi.S',b'1471876501000.0',b'1',b'1'
b'767715270941110272',b'#RosarioCiudadLiberada #RosarioSangra pic.twitter.com/ptBIpaaT4F',b'1123286467',b'1123286467',b'Karolina \xe2\x9c\x8c',b'1471872558000.0',b'7',b'5'
b'768158676859383808',"b'#RosarioSangra 25/08 19:30 frente a tribunales,debemos estar todos'",b'572139011',b'572139011',b'7 estrellas',b'1471978274000.0',b'0',b'0'
b'768143327078322176',b'#RosarioSangra Ayudanos RT #NiUnoMenos @CeSanz1 @LuisBeld @majulluis @ComunidadMitre @charlie_cardozo @LuchoBugallopic.twitter.com/w8uLPRfrjZ',b'58327643',b'58327643',b'#BastaDeMafia',b'1471974615000.0',b'14',b'7'
b'768109195321286664',"b'#RosarioSangra todos somos victimas,porque si no nos toco,vivimos pensando si nos tocara! pic.twitter.com/lAqjNBZlm0'",b'572139011',b'572139011',b'7 estrellas',b'1471966477000.0',b'2',b'0'
b'768108019867611136',b'#RosarioSangra',b'572139011',b'572139011',b'7 estrellas',b'1471966197000.0',b'0',b'0'
b'768107654124343300',"b'MARCHA \nJUEVES 25 DE AGOSTO A LAS 19:30, EN LOS TRIBUNALES\n#RosarioSangra'",b'101589427',b'101589427',b'Victor Bilsky',b'1471966110000.0',b'1',b'2'
